ID;Temperatura;Humedad;Relacion_a_c;Edad;Resistencia;Aditivo_id
1;10;50;0.4;7;26.73;1
2;10;50;0.4;7;29.26;1
3;10;50;0.4;7;26.58;1
4;10;50;0.4;7;26.09;1
5;10;50;0.4;7;26.46;1
6;10;50;0.4;7;26.83;1
7;10;50;0.4;14;35.12;1
8;10;50;0.4;14;36.45;1
9;10;50;0.4;14;35.77;1
10;10;50;0.4;14;37.18;1
11;10;50;0.4;14;34.59;1
12;10;50;0.4;14;37.57;1
13;10;50;0.4;28;39.29;1
14;10;50;0.4;28;44.36;1
15;10;50;0.4;28;41.98;1
16;10;50;0.4;28;42.85;1
17;10;50;0.4;28;38.32;1
18;10;50;0.4;28;39.80;1
19;10;50;0.4;7;30.21;2
20;10;50;0.4;7;31.43;2
21;10;50;0.4;7;28.14;2
22;10;50;0.4;7;29.40;2
23;10;50;0.4;7;31.08;2
24;10;50;0.4;7;31.07;2
25;10;50;0.4;14;33.84;2
26;10;50;0.4;14;35.35;2
27;10;50;0.4;14;36.54;2
28;10;50;0.4;14;39.93;2
29;10;50;0.4;14;34.76;2
30;10;50;0.4;14;36.77;2
31;10;50;0.4;28;46.69;2
32;10;50;0.4;28;44.04;2
33;10;50;0.4;28;44.89;2
34;10;50;0.4;28;43.19;2
35;10;50;0.4;28;45.63;2
36;10;50;0.4;28;45.94;2
37;10;50;0.4;7;28.72;3
38;10;50;0.4;7;32.09;3
39;10;50;0.4;7;30.31;3
40;10;50;0.4;7;28.51;3
41;10;50;0.4;7;30.33;3
42;10;50;0.4;7;28.66;3
43;10;50;0.4;14;38.21;3
44;10;50;0.4;14;39.68;3
45;10;50;0.4;14;36.49;3
46;10;50;0.4;14;37.84;3
47;10;50;0.4;14;36.25;3
48;10;50;0.4;14;37.19;3
49;10;50;0.4;28;47.40;3
50;10;50;0.4;28;41.94;3
51;10;50;0.4;28;44.04;3
52;10;50;0.4;28;45.24;3
53;10;50;0.4;28;41.96;3
54;10;50;0.4;28;45.89;3
55;10;50;0.4;7;27.29;4
56;10;50;0.4;7;30.66;4
57;10;50;0.4;7;31.00;4
58;10;50;0.4;7;28.43;4
59;10;50;0.4;7;29.62;4
60;10;50;0.4;7;31.26;4
61;10;50;0.4;14;39.15;4
62;10;50;0.4;14;36.01;4
63;10;50;0.4;14;39.78;4
64;10;50;0.4;14;40.26;4
65;10;50;0.4;14;39.82;4
66;10;50;0.4;14;40.56;4
67;10;50;0.4;28;47.69;4
68;10;50;0.4;28;49.73;4
69;10;50;0.4;28;44.25;4
70;10;50;0.4;28;42.53;4
71;10;50;0.4;28;48.61;4
72;10;50;0.4;28;45.93;4
73;10;50;0.5;7;22.89;1
74;10;50;0.5;7;25.73;1
75;10;50;0.5;7;23.76;1
76;10;50;0.5;7;25.47;1
77;10;50;0.5;7;24.83;1
78;10;50;0.5;7;26.15;1
79;10;50;0.5;14;32.59;1
80;10;50;0.5;14;32.90;1
81;10;50;0.5;14;30.88;1
82;10;50;0.5;14;30.93;1
83;10;50;0.5;14;34.44;1
84;10;50;0.5;14;31.32;1
85;10;50;0.5;28;37.81;1
86;10;50;0.5;28;34.43;1
87;10;50;0.5;28;38.59;1
88;10;50;0.5;28;37.26;1
89;10;50;0.5;28;38.31;1
90;10;50;0.5;28;37.04;1
91;10;50;0.5;7;23.91;2
92;10;50;0.5;7;27.41;2
93;10;50;0.5;7;25.51;2
94;10;50;0.5;7;22.67;2
95;10;50;0.5;7;25.55;2
96;10;50;0.5;7;24.55;2
97;10;50;0.5;14;33.10;2
98;10;50;0.5;14;35.54;2
99;10;50;0.5;14;32.36;2
100;10;50;0.5;14;35.85;2
101;10;50;0.5;14;33.67;2
102;10;50;0.5;14;31.25;2
103;10;50;0.5;28;42.65;2
104;10;50;0.5;28;40.11;2
105;10;50;0.5;28;40.18;2
106;10;50;0.5;28;36.05;2
107;10;50;0.5;28;40.56;2
108;10;50;0.5;28;40.03;2
109;10;50;0.5;7;24.99;3
110;10;50;0.5;7;27.24;3
111;10;50;0.5;7;26.87;3
112;10;50;0.5;7;26.84;3
113;10;50;0.5;7;27.06;3
114;10;50;0.5;7;25.26;3
115;10;50;0.5;14;32.02;3
116;10;50;0.5;14;32.98;3
117;10;50;0.5;14;31.74;3
118;10;50;0.5;14;33.58;3
119;10;50;0.5;14;35.70;3
120;10;50;0.5;14;34.40;3
121;10;50;0.5;28;40.93;3
122;10;50;0.5;28;41.89;3
123;10;50;0.5;28;38.69;3
124;10;50;0.5;28;39.64;3
125;10;50;0.5;28;40.87;3
126;10;50;0.5;28;42.94;3
127;10;50;0.5;7;27.32;4
128;10;50;0.5;7;24.23;4
129;10;50;0.5;7;28.06;4
130;10;50;0.5;7;25.69;4
131;10;50;0.5;7;28.55;4
132;10;50;0.5;7;26.68;4
133;10;50;0.5;14;38.07;4
134;10;50;0.5;14;36.68;4
135;10;50;0.5;14;35.73;4
136;10;50;0.5;14;33.77;4
137;10;50;0.5;14;34.04;4
138;10;50;0.5;14;31.81;4
139;10;50;0.5;28;36.78;4
140;10;50;0.5;28;38.24;4
141;10;50;0.5;28;39.70;4
142;10;50;0.5;28;42.17;4
143;10;50;0.5;28;42.15;4
